Company,Day,Subject,Content
Codementor,Day 0,!company_name Software,"Hi !first_name - You're running a fast growing company so I'll keep this brief.
We are an invite-only network of vetted developers who can help augment your team (adding a senior React dev for 3 months) or hit your product milestone faster. If you're working on an iOS app, for example, we can help you launch it in two months instead of four.
Do you have 10 minutes for a chat in the next few days?
If not, who do you recommend I speak with? Thanks in advance.
John Doe
Business Development Specialist, Codementor
Need World-Class Freelance Developers?
If you'd like me to stop sending you emails, please click here"
Codementor,Day 4,Re: !company_name Software,"Hi !first_name,
Is there any new product ideas that you¡¯ve been thinking of, but just doesn¡¯t have the capacity to work on? We¡¯ve helped companies like !company_name to work on side projects and allow them to explore new business models.
Do you have a few minutes for a chat in the next few days? Or is there maybe someone else I should reach out to?
Thanks,
John Doe
Business Development Specialist, Codementor
Need World-Class Freelance Developers?
If you'd like me to stop sending you emails, please click here"
Codementor,Day 7,Re: !company_name Software,"Hi !first_name,
Would you like to work with one of our developers on a risk-free trial period? You won¡¯t pay anything if you¡¯re not happy with the work.
John Doe
Business Development Specialist, Codementor
Need World-Class Freelance Developers?
If you'd like me to stop sending you emails, please click here"
Codementor,Day 12,Re: !company_name Software,"Hi !first_name,
Just wanted to check if you¡¯d seen my previous emails?
If you¡¯ve been frustrated with random dev shops or freelancer websites before, you¡¯re probably reading this thinking we¡¯re just like them. We¡¯re not.
We guarantee quality, you can pay us by milestone or weekly, and we offer project management services free of charge. That¡¯s why well-known brands choose us for their development work.
You can read about us on
TechCrunch
and
ProductHunt
.
Can I give you quick run-through of how it all works?
Thank you,
John Doe
Business Development Specialist, Codementor
Need World-Class Freelance Developers?
If you'd like me to stop sending you emails, please click here"
e2f,Day 0,Globalization,"Hello !first_name,
I noticed that !press_name recently mentioned !company_name. Congratulations!
I am sure you are very busy, but are you carving some time to plan your worldwide expansion?
Headquartered in San Jose, my company e2f is a translation and localization company specialized in websites, mobile apps, startups and marketing content, with clients such as Coherent, Strava or Toca Boca to name a few.
May I get 10 minutes of your time to discuss your localization strategy and how we could help you quickly and efficiently reach new markets?
Please let me know when would be a good time to discuss, or who would be the right person to talk to in your organization.
Thanks in advance,
Mary Doe, Account manager
s: skype.id
c: 123.456.7891"
Left Productions,Day 0,Call <> !company_name,"Hello !first_name,
I came across !company_name while looking at the list of Y Combinator alumni. As we've worked with other Y Combinator alum like Front, I thought I'd personally reach out, as I'm looking to build some new relationships. Feel free to send this email along too!
I'm John Doe from Left Productions. We produce striking video campaigns like this one for
MedicAnimal
with fugly pets and
engaging product presentation videos
for companies like Front. We also create soothing motion design content like this video for
Ynsect
.
If you want to learn how effective this campaign was,
here is the case study.
Are you planning on producing video content for !company_name this year? If so, we'd love to have a chat with you.
Have a good day,
John Doe"
Left Productions,Day 3,Re: Call <> !company_name,"Hello !first_name,
I hope you're well! I just wanted to resurface this e-mail.
As you know, we make video campaigns for companies. Do you have 10 minutes in the next few days to see how video can generate sales and increase new customers for !company_name?
In the meantime, here is a gif of a cat waiting ;)
Best,
John Doe"
Left Productions,Day 9,Re: Call <> !company_name,"Hello !first_name,
Last email, I sent you a gif of a cat waiting. This time, here's a dog filled with anticipation!
We produce striking video content for companies like !company_name and I believe these articles could be very helpful for you:
-
The 10 most common questions about video marketing
:  how much does video production cost, does 1 million views cost, what impact, etc ?
-
The 5 mistakes to avoid when preparing your TV campaign
, written with Realytics, a leading tool for TV tracking.
If your curious about producing a video, we'd be happy to have a chat with you.
Have a good day,
John Doe"
PipeCandy,Day 0,"Elementary, my dear !first_name","Hi !first_name,
¡°Data. Data. Data. I cannot make bricks without clay.¡± Sherlock Holmes said it about detective work. But it fits for sales too. If you know exactly who to reach, when to reach them and the little things about who they are, then all you need to do is click 'Send'.
I see that you sell to !industry. At PipeCandy, we specialize in that very vertical and can get you the prospects that you are most likely to convert.
How about a quick call to talk more? Can I block 15 minutes on your calendar sometime this week?
Best,
John Doe
Principal Consultant - B2B Prospecting Strategy
Web: http://pipecandy.com/
Skype: skype.id | Mobile: +1234567890"
PipeCandy,Day 10,"RE: Elementary, my dear !first_name","Hi !first_name,
Did you get a chance to read my previous email?
If I could tell you which companies sell on multiple channels, how many SKUs they have and the email IDs of the decision maker in each company, you can go all Don Corleone on them. ¡°Make them an offer they can¡¯t refuse.¡±
How does your calendar look for a call early next week?
Best,
John Doe
Principal Consultant - B2B Prospecting Strategy
Web: http://pipecandy.com/
Skype: skype.id | Mobile: +1234567890"
PipeCandy,Day 15,"RE: Elementary, my dear !first_name","Hi !first_name,
Maybe you missed my emails. I¡¯m positive that we can be a great fit for you and can widen your sales pipeline. We can perhaps continue this over email if you are busy.
Best,
John Doe
Principal Consultant - B2B Prospecting Strategy
Web: http://pipecandy.com/
Skype: skype.id | Mobile: +1234567890"
PipeCandy,Day 27,"RE: Elementary, my dear !first_name","Guess you¡¯re quite busy. Can I check in with you again in a few weeks?
Best,
John Doe
Principal Consultant - B2B Prospecting Strategy
Web: http://pipecandy.com/
Skype: skype.id | Mobile: +1234567890"
Incite Group,Day 0,Re: Call next week,"Hello !first_name,
We have just started to ramp up production on The Customer Service Summit 2017 (Nov 16-17 2017) which is returning for a sixth year this November.
We will be bringing together over 250+ Customer Service Directors from the biggest brands in the USA.  Our speaker line-up already includes leaders from McDonalds, Comcast, Motorola, WellsFargo, Symantec and more.
I thought this would be a good audience for !company_name and I¡¯d like to setup a call to learn more about the work you do and how we can collaborate through our sponsorship opportunities.
Are you free for a call on Monday morning next week?
Best,
john
John Doe
Business Development Manager
Incite Group
(Global) T: +44 (0) 123 456 7891
E: john.doe@incite-group.com W: www.incite-group.com"
Incite Group,Day 7,FW: Call on Monday,"Hello !first_name,
I wondered if you had a chance to see my email below?  In the past week we have added even more speakers to our great line-up.
We now have social media leaders from the The New York Jets, McKesson, Motorola, Dow Jones, The Hershey Company, HP and Verizon joining us.  If you are interested in getting meaningful face-to-face time with these decision makers I would love to have a call to discuss how we can collaborate through our sponsorship options.
Are you free on Monday at 09:00 (EST)?
Best,
john
John Doe
Business Development Manager
Incite Group
(Global) T: +44 (0) 123 456 7891
E: john.doe@incite-group.com W: www.incite-group.com"
Agile,Day 0,Be Honest... Are you really using your CRM?,"Hi !first_name,
Lack of automation leads to delayed responses and broken sales processes. This causes businesses to miss out on potential leads. We've built Agile CRM with love for small businesses so that they can run in a hassle-free way with automated workflows.
It has a lot to offer - Marketing Automation, Sales Automation, Service Automation, Telephony, Landing Pages, Web Rules, Third Party Integrations, Contact Level Analytics and much more.
Click here for a quick slide show about the features and benefits of Agile CRM.
Signup and start using! It¡¯s FREE!
Best,
John Doe
Director of Sales
Agile CRM
O. 415-123-4567
C. 415-123-4567"
Agile,Day 2,Built with love for SMBs like !company_name,"Hey !first_name,
Somewhere along the way, CRM became a really hard to use a database of outdated information and a time suck. That¡¯s why we built Agile CRM, an intuitive and powerful CRM, that teams actually love using.
Agile CRM is as easy as using Facebook. Automating everything in the sales cycle from tasks to follow-up emails.  You¡¯ll spend more time on selling and significantly less time on non-revenue producing activities.
Question, Would your team be more effective if they could....
1. Find a Prospect on LinkedIn
2. Import their profile info automatically in your CRM with just a click
3. Automatically add a tag to the account, kind of like a hashtag, which then triggers an automated outbound workflow
4. Then score that lead over time based on email opens, click-throughs, time spent on your website and pages visited ensuring they maximize every opportunity and focus on clients who are ready to buy
If so, give me a shout! I look forward to hearing from you.
John Doe
Director of Sales
Agile CRM
O. 415-123-4567
C. 415-123-4567"
Agile,Day 4,How do you get a small sales team to sell like an army?,"Hi !first_name,
Focused Selling. Let me explain...
At Agile CRM, we¡¯ve helped over 10,000 business dramatically increase their ROI. By creating a visually intuitive CRM that is as easy to use as a point and click, your sales reps will be able to focus on what matters most, closing deals, not manual data entry.
Additionally, with Agile CRM¡¯s lead scoring you¡¯ll separate the good leads from the not ready ones, so you are maximizing time by only talking to prospects who are ready to buy.
It's like hiring a business development army without the associated cost. That's how Agile CRM truly lets your business sell like Fortune 500 companies.
When can I show you how our customers make the most of Agile CRM so you can start focusing on selling?
Best,
John Doe
Director of Sales
Agile CRM
O. 415-123-4567
C. 415-123-4567"
Agile,Day 7,Market and Sell Like the Fortune 500,"Hi !first_name,
I am reaching out to you in reference to the previous emails I have sent.
I completely understand that your time is valuable and just wanted to check if you received the e-mails and if you had a chance to go through them.
We have over 10,000 business customers using our services and I can't wait to show you the potential it has to help your sales and marketing teams achieve more in a very short amount of time.
Even if you aren't sure about a potential fit between Agile CRM and !company_name, it's still worth a chat because we help companies just like close 2x more deals without having to hire a single extra sales rep.
I would love to learn more about your sales and marketing challenges. Give me 15 minutes and I will show you how Agile CRM can get selling like a Fortune 500 company in less than a week!
Have a great day!
John Doe
Director of Sales
Agile CRM
O. 415-123-4567
C. 415-123-4567"
Agile,Day 10,Get it while it¡¯s hot!,"It¡¯s me again, !first_name
I haven't heard back from you and that tells me one of two things:
1. Lead Generation is not your top priority. That would break my heart :(
2. You're still interested in high conversion rates and lead generation but haven't had the time to get back to me - no worries!
I am reaching out to you one last time to let you know we are running our first ever promotion for one free month of Agile CRM Regular or Enterprise!
This offer expires at the end of this month! If you would like to take advantage of this unheard of the offer, please let me know at your earliest convenience.
Thanks for your time!
John Doe
Director of Sales
Agile CRM
O. 415-123-4567
C. 415-123-4567"
Optimonk,Day 0,Appointment request,"Hi !first_name,
I¡¯m John, marketing manager at OptiMonk. We provide the most popular onsite retargeting tool for Shopify, which you can check here: https://apps.shopify.com/optimonk.
We have an award-winning strategy for increasing the number of leads, by spending less time, effort, risks, however more potential. It is something we¡¯ve been working on in our marketing department and I would love to share it with you.
I¡¯ve checked !company_name and I believe we have the same target market which is Shopify, so I thought this cooperation can be beneficial for both of us.
I would really appreciate a 15 minute call with you to share further details. I believe it will be huge for both of us.
Thanks,
John
--
John Doe
OPTIMONK
www.optimonk.com
Try it: Free trial for 14 days"
Optimonk,Day 4,Re: Appointment request,"Hi !first_name,
Sorry to disturb you, but did you get a chance to look at my email below?
I guess you get quite a lot of unsolicited requests, but I truly believe a call with me will be worth your time. I'm not trying to sell you anything (really).
Thanks,
John
--
John Doe
OPTIMONK
www.optimonk.com
Try it: Free trial for 14 days"
Optimonk,Day 5,Re: Appointment request,"Hi !first_name,
I just wanted to follow-up on my previous email. I would value an opportunity to share my ideas with you - and it won't take more than 15 minutes of your time!
Thanks a lot in advance and looking forward to your reply.
Thanks,
John
--
John Doe
OPTIMONK
www.optimonk.com
Try it: Free trial for 14 days"
Optimonk,Day 11,Re: Appointment request,"Hi !first_name,
I think I'm reaching the pain in the butt threshold. I know the use case is really strong for you - just give me a few minutes of your time to prove it.
Please let me know either way whether you'd like to cooperate or not. Sometimes a ""no"" is just as good as a ""yes"" in my world.
Thanks,
John
--
John Doe
OPTIMONK
www.optimonk.com
Try it: Free trial for 14 days"
Upcounsel,Day 0,Legal for !company_name,"Hi !first_name,
I'm John from UpCounsel: A tech-enabled legal solutions provider & Menlo-backed company.
Companies like Airbnb, HotelTonight and Stripe rely on us everyday to handle their day-to-day legal work ? while saving 60% on their legal bills, this includes:
contracts, intellectual property, employment, etc.
We're offering 10 minute demos, would you like to schedule one?
John Doe | UpCounsel
Business Legal Solutions
Try It ? See Our Rates & Attorneys!"
Upcounsel,Day 2,Re: Legal for !company_name,"Hi !first_name,
This is John, and I reached out last week about how UpCounsel is helping companies take care of their day-to-day legal work (contracts, IP, employment) ? while reducing their legal bills by half.
Would you like to sign up for our 10 minute group demo to learn how we can help !company_name?
John Doe | UpCounsel
Business Legal Solutions
Try It ? See Our Rates & Attorneys!"
Upcounsel,Day 6,Re: Legal for !company_name,"Hi !first_name,
Wanted to see if you caught my message below, and if you were interested in a 10 minute group demo to discuss Amplemarket's legal needs?
You can try it yourself to see rates and attorneys.
John Doe | UpCounsel
Business Legal Solutions
Try It ? See Our Rates & Attorneys!"
Upcounsel,Day 27,Re: Legal for !company_name,"Hi !first_name,
Do you have any legal items or questions for !company_name that I can help with?
Our 10 minute demo is meant to cover !company_name's legal needs and determine if UpCounsel can help alleviate some of your expenses and headaches ? would you like to schedule one?
John Doe | UpCounsel
Business Legal Solutions
Try It ? See Our Rates & Attorneys!"
Conversific,Day 0,!company_name & Conversific,"Hi !first_name,
I'm John, Co-Founder of Conversific (www.conversific.com).
I wanted to personally reach you out real quick as I believe we could build a win-win partnership to achieve more Shopify leads from 5times less.
At Conversific, we have an award-winning strategy for increasing the number of leads, by spending less time, effort, risks, however more potential.
It is something we¡¯ve been working on in our marketing department and I would love to share it with you.
I¡¯ve checked !company_name and I believe we have the same target market which is Shopify, so I thought this cooperation can be beneficial for both of us.
Do you have 10 min this week to discuss and get a free test started?
I believe it will be huge for both of us.
Feel free to book a meeting, here is my calendar:
https://calendly.com/asdasdasd/15min
Thanks! I look forward to your response.
John Doe
Co-Founder & Head of Sales
CONVERSIFIC
www.conversific.com"
Conversific,Day 2,Re: !company_name & Conversific,"Hi !first_name,
I know you want to hear more information before you say YES, so I send you some more information:
Honestly lead generation costs more and more using the typical marketing channels.
Fortunately, we found a new growth hacking trick we could reach new leads 5times less than before!
I was skeptical first because I had experience with spending money on ads but no return. But believe me, it is not the usual ""promote each other in email"" type of cooperation, but proven a superior one, with less work, no risks, and multiple potentials.
Don¡¯t let you loose a kind of free opportunity, leverage the power of our prosperous partnership.
Let¡¯s talk about this opportunity:
https://calendly.com/asdasdasd/15min
John Doe
Co-Founder & Head of Sales
CONVERSIFIC
www.conversific.com"
Conversific,Day 6,Re: !company_name & Conversific,"Hi !first_name,
Did you get a chance to look at my email below?
I guess you get quite a lot of unsolicited requests, but I truly believe a call with me will be worth your time. I'm not trying to sell you anything (really).
John Doe
Co-Founder & Head of Sales
CONVERSIFIC
www.conversific.com"
Conversific,Day 9,Re: !company_name & Conversific,"Hi !first_name,
I just wanted to follow-up on my previous email. I would value an opportunity to share my ideas with you - and it won't take more than 15 minutes of your time!
Thanks a lot in advance and looking forward to your reply.
John Doe
Co-Founder & Head of Sales
CONVERSIFIC
www.conversific.com"
Conversific,Day 16,Re: !company_name & Conversific,"Hi !first_name,
I think I'm reaching the pain in the butt threshold. I know the use case is really strong for you - just give me a few minutes of your time to prove it.
Please let me know either way whether you'd like to cooperate or not. Sometimes a ""no"" is just as good as a ""yes"" in my world.
John Doe
Co-Founder & Head of Sales
CONVERSIFIC
www.conversific.com"
Captain401,Day 0,401(k) with Captain401 (YC S15),"Hi !first_name,
As you continue to innovate over at !company_name , I thought I¡¯d drop you a quick note introducing Captain401, a Y-Combinator backed 401(k) provider that offers investment advising and automates all administration by syncing with payroll.
Do you have 10-15 minutes this week or next to discuss your current plan (if you have one) and what employee benefits you¡¯re looking to or currently providing?
Thanks!
--
John Doe | Captain401
Account Executive
Captain401 | (650) 123-4567
Press: WSJ | TechCrunch | VentureBeat
If you'd like me to stop sending you emails, please click here"
Captain401,Day 5,Re: 401(k) with Captain401 (YC S15),"Hi !first_name,
Following up on how we can help make your employees love you even more than they do now by setting up an amazing 401(k) plan (or improving your current one) that saves them taxes and earns them money.
Do you have 15 mins for a call over the next week?
--
John Doe | Captain401
Account Executive
Captain401 | (650) 123-4567
Press: WSJ | TechCrunch | VentureBeat
If you'd like me to stop sending you emails, please click here"
Zenefits,Day 0,Something of interest for !company_name,"Hi !first_name,
As a Co-founder in  your industry, I wanted to reach out to you about Zenefits.
We save companies countless hours (and dollars) by automating the manual data entry typically associated with HR. We do this by giving you a single place to manage your HR administration, compliance, benefits, and payroll - making it easy for systems to sync and share information.
Why Our Customers Love Us: ¡°Having a system like Zenefits means we¡¯re able to compete with bigger companies that have a staff with so many HR people doing all this work.¡± - BioPoint, who relied on Zenefits to help them onboard 45 associates in 6 weeks.
I¡¯d love to show you how Zenefits can be !company_name's solution and partner in HR. Do you have some time this week for a quick chat?
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Zenefits,Day 4,Got an extra $83K to spare on compliance?,"Hi !first_name,
No doubt you¡¯re used to working with numbers as a Co-founder.
Here are two more for you: $83,000 and $12,000. $83,000 is what small business owners pay in regulatory costs (on average) during their 1st year in business, and $12,000 each year after that.
That¡¯s where Zenefits can help. By seamlessly integrating your payroll, HR and benefits functions, our digital HR platform helps you stay on top of laws and deadlines while minimizing your risk from potential penalties and taking grunt work off your plate.
Why Our Customers Love Us: ¡°With Zenefits keeping us compliant, we really have nothing to fear. It¡¯s always gone very smoothly every time we have been audited,¡± says Paul Van Del Wel.
Want to see how we can do the same for !company_name? Let¡¯s start with a quick phone call.
Please let me know a time that works for you.
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Zenefits,Day 11,Goodbye cost and complexity. Hello effortless health benefits.,"Hi !first_name,
There¡¯s no argument that offering benefits is key to attracting talent in the your industry.
From health benefits to commuter benefits - Zenefits can help package and administer the benefits you offer to your employees.
In fact, PC Mag granted us their Editors¡¯ Choice Award, saying ¡°You can¡¯t beat Zenefits, our definitive Editors¡¯ Choice in [benefits administration] when it comes to benefit options, added features and ease of use.¡±
I¡¯d love to give you more details. Let me know if you have time for a quick call this week.
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Zenefits,Day 18,Automate more of your business with our Integrated Apps,"Hi !first_name,
No one likes entering the same information over and over?especially a time-crunched Co-founder like yourself.
But if you¡¯re using standalone business systems, you likely have to do just that whenever a new hire starts.
That¡¯s where we can help.
Our Zenefits platform integrates HR with 25+ of the most popular business apps on the market - including Gmail, Salesforce, Office 365 and Slack - so you can sync data securely across the entire platform. This means you only have to set up new hires in one place and in one system.
Want a first-hand look for yourself? Just let me know.
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Zenefits,Day 18,Raise your business IQ with real-time HR data,"Hi !first_name,
Think HR analytics is just for big businesses? Well, we don¡¯t think so.
That¡¯s why we offer Business Intelligence Reports in our Zenefits HR platform.
These reports give you access to the same kind of HR analytics large enterprises use to drive their decision-making. Gain valuable insights into compensation, turnover, and equal opportunity data at Amplemarket.
Ready to harness your HR data? I¡¯m ready any time for a quick call.
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Zenefits,Day 32,Put HR in your employees¡¯ pockets,"Hi !first_name,
Did you know 78% of executives think mobile will be the dominant technology within five years?*
At Zenefits, we understand how a fully mobile workforce is becoming more critical for success ? even for a small firm in your industry.
That¡¯s why employees can use our Zenefits mobile app to get insurance information, review paystubs, clock-in/clock-out, and more from their phones. Do you have a few minutes to discuss?
Not ready to chat? Here¡¯s our eBook on how to frame your organization's¡¯ mobile strategy for success.
Best,
John Doe | Zenefits | 250 Brannan St, San Francisco, CA"
Digital Astronauts,Day 0,When's a good time?,"Hey !first_name,
We provide a level of sales infrastructure and automation that no other company can replicate. My team and I have done this with several startups.
If you're not interested, I get it. Not every company wants to automate their top of funnel sales processes.
I can promise you that you'll see value within the first 30 days, and within 90 days you'll see a positive ROI from the sales processes we build for you.
Let me know if you'd like to schedule a time to talk this week, or if you'd like for me to reach out in a future date.
- John Doe, Partner at Digital Astronauts"
Square63,Day 0,!first_name - quick Minute,"Hi !first_name,
I hope this email find you well. I am part of a San Francisco-based, growing software development team, called Square63. We collaborate with high growth internet companies like yours and help them in technologies like Ruby on Rails, JavaScript, PHP, iOS, Android etc.
On a quick note, We can help you achieve following:
- Conceptualize, develop and deploy your product within days instead of months.
- Address any scalability issues if any in your existing app.
- Enhance your product reach with mobile and tablet apps.
Some of the clients we have worked with include Apollo Education Group, Jumo, aFB Ghana, Retail Capital, Jotun Dubai etc and we will be happy to provide you their references.
If you are the appropriate person to speak with, would you be able to spare some time tomorrow at 10 am PST for a quick call? If not, who do you recommend I talk to?
Warm Regards,
John Doe
Technology Sales Specialist
www.square63.com"
Square63,Day 11,"We'll make this quick, !first_name","Hi !first_name,
I've reached out to you a couple times before but haven't been able to get ahold of you. I know this is the busy time of the year for you. So, I¡¯ve programmed this email with an easy-response technology ? simply hit ¡°reply,¡± and type the letter of the choice below that best fits the situation:
A. OMG, this totally slipped off my priority list, but let¡¯s schedule a call for 10 am PST Tomorrow?
B. We still want to do this, but not in the next few months. Put me on your calendar to bother in next quarter.
C. Unfortunately, this is off the table for the foreseeable future. Please quit bugging me about it.
D. Other
As a quick overview, we help companies with their web and mobile product development initiatives in technologies like Ruby on Rails, JavaScript, iOS, Android etc.
P.S: If you're still interested in our services, I'll be happy to provide you 20 complimentary hours of design & development for you to judge the quality of our work.
Warm Regards,
John Doe
Technology Sales Specialist
www.square63.com"
Square63,Day 53,We're flexible!,"Hi !first_name,
Have you ever worked with remote or on-contract web & mobile developers to save the overheads of hiring full-time employees yourself?
We are a web and mobile development firm and have worked with several companies in US to save more than 40% of their technology cost while making sure none of the quality standards they require are compromised. That is why renowned companies like Apollo Education Group, E-Max International and Poweruplabs have been working with us for past several years now.
Our hourly development rates range from USD 25 to USD 35 depending on the duration of the engagement and level of experience of the dedicated staff.
If this is something you are interested in, let's schedule a quick call tomorrow at 11am PST. Else, I am happy to work around your schedule.
Warm Regards,
John Doe
Technology Sales Specialist
www.square63.com"
Arrow Root Capital,Day ,,
Sisense,Day 0,John from Sisense Startup Program + AWS,"Hi !first_name,
I looked into !company_name and I'm impressed. I want to offer you a chance to join a closed startup community within our Sisense Startup Program. Our tool will absolutely increase your revenue, deploy from day 1 and gain your company enterprise level customers. Totally free for a year. Point blank, our embedded analytics will help you grow 10x to 100x.
You will join companies like Uber, Wix and Groupon who grew with Sisense embedded analytics from a young startup to multi-billion-dollar companies.
To join, go to startup.sisense.com, fill out the form and enter this unique access code: SIS17P11 (code expires in 4 days)
Also, if you are running on Mac/Linux, we have also partnered with Amazon Web Services to give all of the startups in our program $2000 in AWS credits to use on a Virtual Machine to install Sisense.
Best,
John Doe
Head of Sisense Startup
P.S. Startup tip #239 from Sisense Co-founder Adi Azaria: ¡°Always set insanely high goals because even if you fall a bit short, you still exceeded targets and overachieved.¡±"
Dashbot,Day 0,Analytics for !company_name,"Hi !first_name,
Have you thought about analytics for voice and chat assistants? Dashbot is an analytics company that provides unique insight-to-action data for chatbots and voice assistants.
We have over 4,200 bots on our platform and have processed over 6.7 billion bot messages. We support Facebook, Slack, Google, and Kik natively, and have a generic API for any conversational interface.
Check it out for free: https://www.dashbot.io. Let me know if you have any questions or if you'd like a demo!
Thanks,
John
Dashbot, Developer Evangelist
www.dashbot.io
Connect with us: Facebook | Twitter | Blog | MeetUp"
Dashbot,Day 7,Re: Analytics for !company_name,"!first_name,
That is the most popular question we get from customers - Should my bot be using buttons or free-form text?
We took a look at the data and found that it depends on what industry you're in and what your goal is.
Learn when buttons work and when they don't from our
industry report.
Let me know if you have any questions about bots!
Thanks,
John
Dashbot, Developer Evangelist
www.dashbot.io
Connect with us: Facebook | Twitter | Blog | MeetUp"
Dashbot,Day 10,Re: Analytics for !company_name,"!first_name,
Everyone wants to know how their bot is doing compared to other bots in the market.
I know its performance is important to you, so here are a few things Dashbot equips you with:
- Market Metrics: See how your bot stacks up competitively with other bots across all messaging platforms.
- Live Transcripts: View transcripts with rich media - videos, audio, locations, etc.
Conversation Funnel: Follow message flows to improve AI response effectiveness.
Sign up for free: https://www.dashbot.io. Let me know if you have any specific reports you'd like to see!
Thanks,
John
Dashbot, Developer Evangelist
www.dashbot.io
Connect with us: Facebook | Twitter | Blog | MeetUp"
Dashbot,Day 14,Re: Analytics for !company_name,"!first_name,
Hope you're doing well! Following up here to see if you can point me to the right contact at !company_name to talk about chatbot and voice analytics.
Check it out: www.dashbot.io.
Thanks,
John
Dashbot, Developer Evangelist
www.dashbot.io
Connect with us: Facebook | Twitter | Blog | MeetUp"
Dashbot,Day 20,Re: Analytics for !company_name,"Hi !first_name,
I haven¡¯t heard from you, so I¡¯m assuming !company_name isn¡¯t interested in advanced conversational analytics at this time.
Just a reminder about how we can help - You can view detailed bot analytics & competitive market metrics, analyze conversation transcripts, track message funnels, optimize referral campaigns, understand sentiment & demographics, and add human-in-the-loop to your bot?.
If priorities change on your end, feel free to reach out!
Will miss you a bot,
John
Dashbot, Developer Evangelist
www.dashbot.io
Connect with us: Facebook | Twitter | Blog | MeetUp"
Crema,Day 0,!company_name office coffee setup,"Hope this finds you well in !company_location!
I wanted to ask if your team is happy with the coffee currently available there at the !company_name office?
Recent surveys have shown most teams aren't. That's why Crema.co just launched a Slack-integrated office coffee subscription that delivers cafe-quality coffee from artisanal roasters across the U.S. (including Ritual in San Francisco) straight to tech offices like yours. With the Crema Slackbot, your team can rate coffees, vote on which one to get next, and choose from personalized recommendations, right in Slack.
Offering great coffee is an easy perk, but goes a long way in fostering a vibrant company culture (especially when competing for talent in the commerce and shopping space). Interested in trying it for the !company_name team?
Happy Wednesday,
John
P.S. If you'd prefer I not email you again, click here to let me know."
Crema,Day 12,Re: !company_name office coffee setup,"Any more thoughts about supercharging Orankl's office coffee experience with Crema.co's cafe-quality coffee subscription?
To give you bit more info: each coffee is roasted-to-order by one of our 20 artisan roaster partners and delivered to your office in 5lb increments. Pricing is just $79 per 5lb bag, shipping is free, and there are no contracts. You can get started by visiting https://crema.co/office-coffee .
Best,
John
P.S. If you'd prefer I not email you again, click here to let me know."
Crema,Day 20,Re: !company_name office coffee setup,"As a final note, I wanted to share this
Wall Street Journal article
about the growing role specialty coffee is playing at blue-chip firms, as well as this
Daily Coffee News article
about how Crema.co is solving the problem for 10-200 person-offices like yours.
I'll spare your inbox from future emails unless I hear back from you, but please don't hesitate to reach out if you want to learn more about Crema.co's office coffee subscription.
I wish you and !company_name all the best!
Best,
John"
Amplitude,Day 0,your product goals,"Hi !first_name,
How do you know your product team is building the right features? Are you stuck cobbling together marketing and BI tools to answer product questions? Product teams at Microsoft, PayPal and Twitter have found a better way to achieve their product goals with Amplitude.
Modern product teams around the globe are choosing Amplitude for product analytics. Here are some stories about our momentum & product-first focus:
TechCrunch, Amplitude raises another $30M for its product-focused analytics tools
SiliconANGLE, Amplitude, a provider of analytics for product teams, reels in $30M
VentureBeat, Product analytics company Amplitude raises $30 million
Would love to connect with you and learn more about your product strategy. Do you have 15 minutes to chat next week?
- John
Analytics Strategist @ Amplitude"
Comparably,Day 0,!company employee data,"Hey !first_name,
I wanted to make sure you knew that !company has a public page on Comparably. Comparably for employers is something you and your team might find valuable when it comes to employer branding and recruiting software engineers, product managers, designers, digital marketers, etc... Our product is free for employers to use and we are working with over 4000 companies already.
To get access to your job candidates, all your employee ratings and culture data, plz take a brief moment to access your !company page here: https://www.comparably.com/companies/!company. All our tools are 100% free, and you can learn more about our hiring solutions, competitive culture analytics, and salary database here: https://www.comparably.com/company-tools
Once you access your !company account, I'd be happy to give you a demo of our full solution (again everything is 100% free).
John Doe
Comparably.com"
Comparably,Day 4,Re: !company employee data,"!first_name, I wanted to reach out one last time to make sure you're the right person at !company to claim your company page: https://www.comparably.com/companies/!company.
Leaders in HR, recruiting, brand management, or at the exec level should have access. Are you the right person for me to be contacting? If not can you plz help connect me with the folks at !company that should have access to our Comparably Employer Solutions.
Many thanks."
AgileJS,Day 0,!company in Q4,"Hi !first_name,
I was reading about !company for a while and I¡¯ve heard that you are looking for a smart people to join your team. I thought the time was right to ping you.
This is not your ordinary ¡°we_have_guys_who_can_code¡± email. Within our company we have several Labs that focus on Node, React JS, React Native, Angular and we¡¯ve got tons of experience with vanilla JS, HTML and CSS.
!company, similar to our clients like FlyVictor, BleacherReport, FailArmy was carefully chosen, studied and considered to be contacted.
We build dedicated remote engineering and have 150 employees worldwide. For 10 years we haven¡¯t lost a client and our developers are in top 3% at the market.
I am pretty confident that you, like most companies, can benefit from working with top engineers who understand your domain.
Would you like to explore, via email, if a larger conversation makes sense?
John Doe
Senior Project Manager  @ AgileJS"
